Maximum Marks,100,[do-not-delete-the-sample-student],,[do-not-delete-EOFs],[marks-do-not-have-to-be-in-order],,,,,,,,EOF1,EOF2
Total Students,128,[roll-numbers-start-from-0-and-end-at-(n-1)],,[roll-numbers-do-not-have-to-be-in-order],,,,,,,,,,
Marks,Name,Roll Number,College-Preference-1,College-Preference-2,College-Preference-3,College-Preference-4,College-Preference-5,College-Preference-6,College-Preference-7,College-Preference-8,College-Preference-9,College-Preference-10,,
0,sample student,0,2,3,,,,,,,,,,
66,ZCQYUONK,1,3,2,10,4,8,9,1,5,7,6,,
52,EXUSHPTR,2,8,3,1,2,4,,,,,,,
2,XAQAZQHE,3,9,8,6,7,,,,,,,,
59,KCWSIXTP,4,6,2,9,7,1,3,5,,,,,
34,HMORQKSM,5,9,6,2,,,,,,,,,
89,BWVEAPNH,6,8,9,6,10,7,2,,,,,,
97,QUVTJVRD,7,4,3,6,5,8,7,9,,,,,
29,BABGBJTA,8,8,,,,,,,,,,,
2,QSGUQSXK,9,2,8,3,6,4,7,,,,,,
61,KHUYMSUF,10,6,2,7,10,,,,,,,,
36,OSRSWHZO,11,8,2,4,,,,,,,,,
35,FHSXRJPG,12,9,,,,,,,,,,,
84,CNTIDYDI,13,9,7,3,,,,,,,,,
6,LQSXUATW,14,4,7,10,2,9,,,,,,,
59,RWKVAWKV,15,6,3,7,1,8,4,,,,,,
43,EUPUONTB,16,6,7,8,9,2,3,5,,,,,
76,OVALCBAA,17,5,3,4,1,8,7,2,9,,,,
29,AGRQFVHZ,18,1,6,10,3,8,2,4,7,5,,,
67,YCZBMCYY,19,4,,,,,,,,,,,
72,BFZDYHNM,20,7,3,,,,,,,,,,
100,PFGFULTF,21,4,9,5,7,6,3,2,1,,,,
22,DUQEMLHL,22,8,9,1,3,2,7,,,,,,
50,VCKLKEBM,23,2,7,5,,,,,,,,,
44,LEEAJIOP,24,6,3,5,4,,,,,,,,
80,YOILFEWA,25,9,5,7,4,2,8,,,,,,
67,AEWWKHHW,26,3,6,3,7,,,,,,,,
95,RLDEAUZO,27,7,5,6,3,2,4,1,10,8,,,
75,ZOVIULYG,28,6,1,2,8,5,3,7,,,,,
2,FIWZDYCY,29,2,1,3,4,9,6,8,5,,,,
48,TGIXAHKJ,30,8,9,7,1,3,2,10,5,4,,,
83,CPXWZJLS,31,4,1,5,8,10,2,,,,,,
9,MISIOJZC,32,5,3,8,2,9,,,,,,,
18,KKAUQBZK,33,2,8,,,,,,,,,,
13,JDAWCMXJ,34,3,1,4,10,2,7,,,,,,
44,PQZDCPVQ,35,4,8,5,1,,,,,,,,
81,QOZQLXIU,36,3,,,,,,,,,,,
56,XHSRATGD,37,7,6,3,5,,,,,,,,
92,VQFKSPIG,38,10,6,4,5,7,9,8,2,,,,
20,UMMVJNUX,39,6,1,10,3,8,4,7,,,,,
1,LNVNNNBO,40,9,10,6,7,5,1,3,4,2,8,,
18,BEHCOPHY,41,9,3,1,2,,,,,,,,
87,LPTGNJHN,42,7,1,9,4,5,3,10,2,6,,,
1,EURKOULI,43,7,5,10,6,8,3,4,,,,,
